publisher,video_title,link,date_posted,total_view,dislikes,likes,timestamp
Kangai Mwiti,5-Minute Smoky Eye For Beginners,https://www.youtube.com/watch?v=DjsDJOS9F5k,18/02/2015,11450,4,933,1482260446
Kangai Mwiti,"Simple and Quick Makeup, for Valentines!",https://www.youtube.com/watch?v=m9I4MKUs86o,07/02/2015,9554,6,674,1482260447
Kangai Mwiti,"Sexy Waves for Valentines Day, Using Wow African's Virgin Brazilian Lace Front Wig",https://www.youtube.com/watch?v=iylNVQNlJa4,03/02/2015,6721,4,172,1482260448
Kangai Mwiti,Lupita Nyong'o Inspired Makeup Tutorial for Valentines!,https://www.youtube.com/watch?v=rUXW9_LIlR8,28/01/2015,8398,2,610,1482260450
Kangai Mwiti,Kerry Washington Inspired Makeup Tutorial (2015 Golden Globes),https://www.youtube.com/watch?v=blTO0a1Xlac,17/01/2015,11696,4,537,1482260451
Kangai Mwiti,Katharine McPhee at the 2015 People's Choice Awards- Inspired Makeup Tutorial (Marsala Lips),https://www.youtube.com/watch?v=VnqySElpSCI,14/01/2015,4113,4,335,1482260452
Kangai Mwiti,Colorful Liner | Bellesa Africa,https://www.youtube.com/watch?v=QoL15r2YEh0,12/01/2015,6187,1,534,1482260453
Kangai Mwiti,Neutrals | Bellesa Africa,https://www.youtube.com/watch?v=UBcDymyReW4,09/01/2015,11338,4,1077,1482260455
Kangai Mwiti,2014 Favorites!!! | Bellesa Africa,https://www.youtube.com/watch?v=m9vqAgePt8k,01/01/2015,7579,3,305,1482260456
Kangai Mwiti,No-Glitter New Year's Eve Makeup Tutorial,https://www.youtube.com/watch?v=GyoWOo7IADM,30/12/2014,5220,5,484,1482260457
Kangai Mwiti,Happy Holidays!!!! Also- os Kangai single_ and 8 othe random facts about Bellesa Africa,https://www.youtube.com/watch?v=GP0QBkWJaEA,26/12/2014,6749,6,439,1482260459
Kangai Mwiti,"Foundation, Contouring and Eyebrows- Bold Liner- Part 2 | Holiday Makeup Tutorial",https://www.youtube.com/watch?v=bE-JvjJsq7w,19/12/2014,8945,7,549,1482260460
Kangai Mwiti,Bold Liner and Flushed Cheeks- Part 1 | Holiday Makeup Tutorial,https://www.youtube.com/watch?v=gc85GctyplA,15/12/2014,8397,5,696,1482260461
Kangai Mwiti,Spotlight Eyes and Sexy Lips| Holiday Makeup Tutorial,https://www.youtube.com/watch?v=PvC-IHWnIzU,11/12/2014,5693,0,577,1482260463
Kangai Mwiti,GOLD! | Holiday Makeup Tutorial,https://www.youtube.com/watch?v=zCLIgh0b1zA,05/12/2014,4956,12,588,1482260464
Kangai Mwiti,Simple Smoky Glam | Holiday Makeup Tutorial,https://www.youtube.com/watch?v=kgACaLphzYU,30/11/2014,17203,10,681,1482260465
Kangai Mwiti,Smoky Black + Teal | Holiday Makeup Tutorial,https://www.youtube.com/watch?v=Jw-7vTS3RrE,21/11/2014,9346,8,669,1482260466
Kangai Mwiti,How to: (4) The Perfect Red Matte Lip,https://www.youtube.com/watch?v=nUHLZT6Xj1k,04/11/2014,27158,11,1142,1482260468
Kangai Mwiti,"How To: (3) Foundation, Contouring and Highlighting",https://www.youtube.com/watch?v=kHREGsxh8vI,29/10/2014,19180,10,1010,1482260469
Kangai Mwiti,How To: (2) Full Eyebrow Tutorial,https://www.youtube.com/watch?v=dt2ITJM-bq0,23/10/2014,12829,4,861,1482260470
Kangai Mwiti,How To: (1) Blending Eyeshadows,https://www.youtube.com/watch?v=iL92FNtaUNc,19/10/2014,14702,5,890,1482260471
Kangai Mwiti,how to wear-colored lipstick!,https://www.youtube.com/watch?v=CCz0QtFDMSM,11/10/2014,9180,5,656,1482260472
Kangai Mwiti,Sigma's new 3DHD Brushes!! | Bellesa Africa,https://www.youtube.com/watch?v=u8VOyLjbXsM,05/10/2014,7356,7,378,1482260473
Kangai Mwiti,Glowing Pink featuring Sigma's Steady Glow Collection,https://www.youtube.com/watch?v=xisLVzTj470,27/09/2014,8006,3,689,1482260474
Kangai Mwiti,Steel Smoke,https://www.youtube.com/watch?v=n2AlJD4Ie_Y,21/09/2014,7604,6,713,1482260476
Kangai Mwiti,Belle-inspired Skin Care and Makeup Routine,https://www.youtube.com/watch?v=04fyHnHJf0w,12/09/2014,9042,7,516,1482260477
Kangai Mwiti,Pink and Blue!,https://www.youtube.com/watch?v=Bmeg79mmhYQ,31/08/2014,11678,3,780,1482260479
Kangai Mwiti,Sigma's Standout Eyes Gel Liner Collection | Bellesa Africa,https://www.youtube.com/watch?v=DMApswcmE5Y,26/08/2014,7362,4,355,1482260480
Kangai Mwiti,"Cheche's Foundation + Eyebrows, and 2 BONUS Looks!",https://www.youtube.com/watch?v=O8S1FWtzazs,30/07/2014,10332,1,483,1482260481
Kangai Mwiti,"Makeup, for Work!",https://www.youtube.com/watch?v=Pd4mBtyKtRw,23/07/2014,23401,5,1086,1482260482
Kangai Mwiti,Lola's Updated Foundation and Eyebrow Routine,https://www.youtube.com/watch?v=BUsDw9oso5A,26/06/2014,46909,25,915,1482260483
Kangai Mwiti,Simple and Quick Makeup!,https://www.youtube.com/watch?v=9JUSDFs26Oo,15/06/2014,54324,31,2004,1482260485
Kangai Mwiti,GRWM (3)- My Current Foundation Routine | Bellesa Africa,https://www.youtube.com/watch?v=wya-DHam5_4,07/06/2014,21134,16,1007,1482260486
Kangai Mwiti,GRWM (2)- Eyebrows for Soft Smoky Neutrals | Bellesa Africa,https://www.youtube.com/watch?v=FI6WC6BTgv4,02/06/2014,8827,5,335,1482260487
Kangai Mwiti,GRWM (1)- Soft Smoky Neutrals | Bellesa Africa,https://www.youtube.com/watch?v=DsbNxFkPoAc,28/05/2014,13992,8,841,1482260488
Kangai Mwiti,Steamy! | Bellesa Africa,https://www.youtube.com/watch?v=3fK7aMvziDI,23/05/2014,8408,6,598,1482260489
Kangai Mwiti,Soft Smoky Eyes | Bellesa Africa,https://www.youtube.com/watch?v=HU6cYuvc6CY,04/05/2014,6205,2,321,1482260491
Kangai Mwiti,Kaz's Full Foundation Tutorial featuring Kett Cosmetics | Bellesa Africa,https://www.youtube.com/watch?v=hMS3pf0loe4,25/04/2014,14851,15,598,1482260492
Kangai Mwiti,"Berry-stained Lips, Smoky Rosy Eyes",https://www.youtube.com/watch?v=oFgT2cnOUvk,16/04/2014,8545,5,506,1482260493
